Model,K,Precision@K,Recall@K,NDCG@K,HitRate@K
Cold-Popularity,5,0.0005657425598486502,0.0022524012613985077,0.0017583246707171228,0.002828712799243251
Cold-Popularity,10,0.00043522156734337477,0.003573295264082548,0.0021773896761018603,0.004293094666375609
Cold-Popularity,20,0.0004099814450993233,0.006374300358249345,0.002913401655367133,0.008045004729680564
Cold-Diversified,5,0.0005657425598486502,0.0022524012613985077,0.0017583246707171228,0.002828712799243251
Cold-Diversified,10,0.00043522156734337477,0.003573295264082548,0.0021773896761018603,0.004293094666375609
Cold-Diversified,20,0.0003988394091537511,0.006263200937337256,0.002881530125766704,0.007849450629411336
